title,rating,key,added_at,release_date,local_file_size,remote_file_size,largest_file_size,server
5lbs of Pressure,6.2,/library/metadata/314086,2024-04-02,2024-03-08,2.90 Go,1.61 Go,2.90 Go,Mine
65 : La Terre d'avant,6.0,/library/metadata/314823,2024-05-05,2022-11-30,1.61 Go,3.22 Go,3.22 Go,Friend
Agent Stone,6.9,/library/metadata/305375,2023-10-19,2023-08-11,7.19 Go,2.33 Go,7.19 Go,Mine
Albator : Corsaire de l’espace,6.6,/library/metadata/305415,2023-10-19,2013-09-07,15.73 Go,7.95 Go,15.73 Go,Mine
Alien : Covenant,6.1,/library/metadata/314839,2024-05-05,2017-05-09,5.37 Go,4.37 Go,5.37 Go,Mine
Ant-Man,7.1,/library/metadata/314876,2024-05-05,2015-07-14,7.91 Go,3.61 Go,7.91 Go,Mine
Ant-Man et la Guêpe,6.9,/library/metadata/314878,2024-05-05,2018-07-04,6.33 Go,2.56 Go,6.33 Go,Mine
Aquaman et le Royaume perdu,6.6,/library/metadata/309497,2024-01-23,2023-12-20,3.19 Go,8.51 Go,8.51 Go,Friend
Argylle,6.1,/library/metadata/310541,2024-03-06,2024-01-31,5.70 Go,5.70 Go,5.70 Go,BOTH
Astérix & Obélix: L'Empire du Milieu,4.8,/library/metadata/295330,2023-05-05,2023-02-01,1.19 Go,1.55 Go,1.55 Go,Friend
Asteroid City,6.6,/library/metadata/305505,2023-10-19,2023-06-08,7.66 Go,3.11 Go,7.66 Go,Mine
Avatar,7.6,/library/metadata/254059,2022-08-29,2009-12-16,5.98 Go,5.26 Go,5.98 Go,Mine
Avatar : La Voie de l'eau,7.7,/library/metadata/294369,2023-05-05,2022-12-14,6.16 Go,51.76 Go,51.76 Go,Friend
Babylon,7.5,/library/metadata/293160,2023-01-31,2022-12-23,2.99 Go,5.14 Go,5.14 Go,Friend
Barbie,7.3,/library/metadata/303927,2023-09-11,2023-07-19,6.12 Go,6.12 Go,6.12 Go,BOTH
Bernadette,6.6,/library/metadata/309798,2024-02-06,2023-10-04,1.69 Go,4.55 Go,4.55 Go,Friend
The Big Lebowski,7.8,/library/metadata/316591,2024-07-18,1998-03-06,1.51 Go,2.63 Go,2.63 Go,Friend
Black Panther,7.4,/library/metadata/295754,2022-05-02,2018-02-13,7.97 Go,2.55 Go,7.97 Go,Mine
Black Widow,7.3,/library/metadata/295787,2022-02-03,2021-07-07,7.21 Go,7.45 Go,7.45 Go,Friend
Blade II,6.5,/library/metadata/235663,2022-08-21,2002-03-22,1.50 Go,5.85 Go,5.85 Go,Friend
Blood for Dust,8.0,/library/metadata/314457,2024-04-19,2024-04-18,3.14 Go,5.70 Go,5.70 Go,Friend
Blue Beetle,7.0,/library/metadata/304027,2023-09-18,2023-08-16,3.80 Go,3.80 Go,3.80 Go,BOTH
Bob Marley : One Love,6.9,/library/metadata/313709,2024-03-19,2024-02-14,2.61 Go,3.21 Go,3.21 Go,Friend
C'est arrivé près de chez vous,7.2,/library/metadata/305385,2023-10-19,1992-11-04,0.96 Go,4.37 Go,4.37 Go,Friend
Captain America : Civil War,7.4,/library/metadata/295815,2021-10-29,2016-04-27,9.13 Go,6.55 Go,9.13 Go,Mine
Captain America : First Avenger,7.0,/library/metadata/295816,2021-10-29,2011-07-22,7.08 Go,9.83 Go,9.83 Go,Friend
Captain America : Le Soldat de l'hiver,7.7,/library/metadata/295817,2021-10-29,2014-03-26,8.56 Go,3.64 Go,8.56 Go,Mine
Captain Marvel,6.9,/library/metadata/295818,2022-01-30,2019-03-06,7.01 Go,2.82 Go,7.01 Go,Mine
Challengers,7.3,/library/metadata/315309,2024-05-18,2024-04-18,2.63 Go,2.46 Go,2.63 Go,Mine
Civil War,7.4,/library/metadata/315476,2024-05-24,2024-04-10,1.79 Go,2.24 Go,2.24 Go,Friend
The Creator,7.1,/library/metadata/306583,2023-11-14,2023-09-27,1.58 Go,9.84 Go,9.84 Go,Friend
The Crow,7.5,/library/metadata/305345,2023-10-19,1994-02-04,10.32 Go,7.28 Go,10.32 Go,Mine
Danse avec les loups,7.8,/library/metadata/309987,2024-02-14,1990-11-21,5.51 Go,44.43 Go,44.43 Go,Friend
The Dark Knight : Le Chevalier noir,8.5,/library/metadata/235629,2022-08-20,2008-07-16,13.31 Go,87.26 Go,87.26 Go,Friend
The Dark Knight Rises,7.8,/library/metadata/235728,2022-08-24,2012-07-19,14.74 Go,89.24 Go,89.24 Go,Friend
La Demoiselle et le dragon,7.1,/library/metadata/310673,2024-03-08,2024-03-08,5.44 Go,1.83 Go,5.44 Go,Mine
Doctor Strange,7.4,/library/metadata/295837,2021-10-29,2016-10-25,7.21 Go,4.06 Go,7.21 Go,Mine
