title,rating,key,added_at,release_date,file_size,server,Action
Neuf Mecs,0.0,/library/metadata/121359,2022-03-25,2022-03-21,0.00 Go,Séries TV,A
Platonique,0.0,/library/metadata/226217,2022-05-05,2022-05-05,0.00 Go,Séries TV,A
Moloch,5.7,/library/metadata/229653,2022-06-15,2020-10-15,0.00 Go,,A
The Full Monty : la série,0.0,/library/metadata/299448,2023-06-14,2023-06-14,0.00 Go,Séries TV,A
Tapie,0.0,/library/metadata/303968,2023-09-14,2023-09-13,0.00 Go,Séries TV,A
66.5,0.0,/library/metadata/304181,2023-09-25,2023-03-10,0.00 Go,Séries TV,A
Chair de poule,0.0,/library/metadata/304717,2023-10-13,2023-10-13,0.00 Go,Séries TV,A
En Terrasse,0.0,/library/metadata/305951,2023-10-22,2023-10-05,0.00 Go,Séries TV,A
Les Lions de Sicile,0.0,/library/metadata/306007,2023-10-25,2023-10-25,0.00 Go,Séries TV,A
One Trillion Dollars,0.0,/library/metadata/306825,2023-11-23,2023-11-23,0.00 Go,Séries TV,A
Masters of the Air,0.0,/library/metadata/309587,2024-01-26,2024-01-25,0.00 Go,Séries TV,
The New Look,0.0,/library/metadata/310038,2024-02-15,2024-02-13,0.00 Go,Séries TV,
Supersex,0.0,/library/metadata/310577,2024-03-07,2024-03-06,0.00 Go,Séries TV,
Fièvre,0.0,/library/metadata/314067,2024-04-01,2024-03-18,0.00 Go,Séries TV,
Discrètes,0.0,/library/metadata/314236,2024-04-06,2024-03-29,0.00 Go,Séries TV,
Homejacking,0.0,/library/metadata/314373,2024-04-15,2024-04-07,0.00 Go,Séries TV,
Knok,0.0,/library/metadata/314369,2024-04-15,2024-04-12,0.00 Go,Séries TV,
Shardlake : Détective de l'ombre,0.0,/library/metadata/314747,2024-05-02,2024-05-01,0.00 Go,Séries TV,
"Un homme, un vrai",3.0,/library/metadata/314754,2024-05-02,2024-05-02,0.00 Go,Séries TV,
Dark Matter,0.0,/library/metadata/315133,2024-05-08,2024-05-08,0.00 Go,Séries TV,
Eric,0.0,/library/metadata/315681,2024-05-30,2024-05-30,0.00 Go,Séries TV,
Clipped,0.0,/library/metadata/315738,2024-06-04,2024-06-04,0.00 Go,Séries TV,
Fantasmas,0.0,/library/metadata/315854,2024-06-12,2024-06-07,0.00 Go,Séries TV,
Présumé innocent,0.0,/library/metadata/315848,2024-06-12,2024-06-12,0.00 Go,Séries TV,
